#Please keep tags sorted alphabetically when you add/remove country tags

# Special countries...
REB 	= 	"countries/rebels.txt"
CLN     =   "countries/Cleanup.txt"

### NEW NATIONS MOD ###

###France Mod###
UTI		="countries/Utility Tag.txt"
OCC		="countries/Occitania.txt"
BOR     ="countries/The Kingdom of France.txt"

###New Nations###
BRG		        ="countries/Burgundy.txt"
NOV             ="countries/Novgorod.txt"
SMK             ="countries/Smolensk.txt" 
RYA             ="countries/Ryazan.txt" 
MUS             ="countries/Muscowy.txt" 
ATR             ="countries/Asturias.txt"
KRM             ="countries/Karaman.txt"
AKK             ="countries/Aq Qoyunlu.txt"
CND             ="countries/Candar.txt"
DUL             ="countries/Dulkadir.txt"
TUA             ="countries/Kel Ahaggar.txt"
OIR             ="countries/Oirat.txt"
MGO             ="countries/Mongo.txt"
MNG             ="countries/Ming China.txt"
NRD             ="countries/Nordic Empire.txt"
ILL             ="countries/Illinewek Confederation.txt"
BZN             ="countries/Burzenland.txt"
FDA             ="countries/FDA.txt"
FRI             ="countries/Friesland.txt"
THU             ="countries/Thuringia.txt"
MNS             ="countries/Limerick.txt"
SLN             ="countries/Sligo.txt"
ULS             ="countries/Ulster.txt"
LIR             ="countries/Lordship of Ireland.txt"
ALN             ="countries/Alania.txt"
URF             ="countries/Urfa.txt"
KJP             ="countries/Kirisuto Japan.txt"
KZN             ="countries/Kazan.txt"
INC             ="countries/Inca.txt"
BRB             ="countries/Brabant.txt"
CST             ="countries/Castile.txt"
ANU             ="countries/Andalusia.txt"
WUL             ="countries/Franconia.txt"
KOL             ="countries/Köln.txt"
AAC             ="countries/Aachen.txt"
KHR             ="countries/Khorasan.txt"
LIG             ="countries/Liege.txt"
TRR             ="countries/Trier.txt"
ERF             ="countries/Erfurt.txt"
NAP 		    ="countries/Naples.txt"
KNI 		    ="countries/Knights.txt"
CMN		        ="countries/Kunsag.txt"
SLA		        ="countries/Slavonia.txt"
BSV		        ="countries/Severin.txt"
ABB		        ="countries/Abbasid.txt"
LIH		        ="countries/Aukstaitia.txt"
SMG		        ="countries/Samogitia.txt"
CUR		        ="countries/Courland.txt"
NZH		        ="countries/Nanzhao.txt"
#SHU		        ="countries/Shu.txt"
NIB		        ="countries/New Iberia.txt"
CHV             ="countries/Chuvashia.txt"
PLB             ="countries/Polabia.txt"
CHC             ="countries/Chernigov.txt"
KRC             ="countries/Kursk.txt"
ANK             ="countries/Ankara.txt"
NNI             ="countries/Nanai.txt"
SHN             ="countries/Shun.txt"
SUR             ="countries/Sur.txt"
