tatar_union_diplo_title;Reestablish the Kipchak Khanate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
tatar_union_diplo_desc;The Tatar States are weak and fragmented. For far to long we have underestimated the Russians and the fall of the Kazan Khanate proved this. The realization of this threat and the shifting balance of power has convinced our great Khan to reconsile with his old tatar rivals. All the Khans have agreed to reestablish the Altin Urda under our banner! Moscow will burn!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
tatar_union_mil_title;Reestablish the Kipchak Khanate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
tatar_union_mil_desc;The Tatar States were weak and fragmented. For far to long we have underestimated the Russians and the fall of the Kazan Khanate proved this. We need to overthrow our old rivals and reassert our dominance over the Russians once again. erge Han!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
tatar_formation_title;Reestablish the Kipchak Khanate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
tatar_formation_desc;The Tatar States were weak and fragmented. After decades of struggle and decline we managed to subdue the Tatar Steppes, now it is time to reclaim Batu Khans legacy.;;;;;;;;;;;;x,,,,,,,,,,,,,,,
end_kazan_title;End the Kazan Raids;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
end_kazan_desc;For centuries the raids originating from Kazan have devasteded. It is time to finally bring an end to the Tatar Joke!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
control_novgorod_title;Take control in Novgorod;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
control_novgorod_desc;The Republic of Novgorod has been a part of our sphere of influence for centuries, but with increasing russian nationalism we should integrate them further into our realm.;;;;;;;;;;;;x,,,,,,,,,,,,,,,
integrate_estonia_title;Integrate Estonia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
integrate_estonia_desc;Estonia has been a dominion of Sweden since the 16th century, but with the increasing threat of russian unification our control of the Northern Baltics is in danger. We should sacrifice the estonian autonomy to secure the regions stability!;;;;;;;;;;;;x,,,,,,,,,,,,,,,
integrate_livonia_title;Integrate Livonia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
integrate_livonia_desc;Livonia has been a dominion of Sweden since the 16th century, but with the increasing threat of russian unification our control of the Northern Baltics is in danger. We should sacrifice the livonian autonomy to secure the regions stability!;;;;;;;;;;;;x,,,,,,,,,,,,,,,
integrate_ingermanland_title;Integrate Ingria;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
integrate_ingermanland_desc;Ingria has been a dominion of Sweden since the 16th century, but with the increasing threat of russian unification our control of the Northern Baltics is in danger. We should sacrifice the ingrian autonomy to secure the regions stability!;;;;;;;;;;;;x,,,,,,,,,,,,,,,
vassalize_nogay_rej_title;Subjugate the Nogay Khanate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
vassalize_nogay_rej_desc;The foolish Khan of Nogay has refused our offer. We need to subjugate him by the sword to save the Tatars from russian expansionism!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
vassalize_nogay_acc_title;Nogay accepts our offer;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
vassalize_nogay_acc_desc;The Khan of Nogay has accepted our offer. The Russians wont stand a chance against a united Steppe!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
centralize_the_khanate_title;Centralize the Khanate;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
