;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NEN_207;Freddrechsäje;;;;;;;;;;;;;x
NEN_60;Patameck;;;;;;;;;;;;;x
NEN_219;Honsrögge;;;;;;;;;;;;;x
NEN_222;Neu-Grönnen;;;;;;;;;;;;;x
NEN_232;Weldsteenköst;;;;;;;;;;;;;x
NEN_240;Morjeland;;;;;;;;;;;;;x
USA_218;Appalachien;;;;;;;;;;;;;x
PROV223;Aenkomst;;;;;;;;;;;;x
PROV224;Bergweide;;;;;;;;;;;;x
PROV225;Ottostad;;;;;;;;;;;;x
PROV226;Bosschenhoofd;;;;;;;;;;;;x
PROV2627;Vaendelsdorp;;;;;;;;;;;;x
PROV228;Merenburg;;;;;;;;;;;;x
PROV229;Santenburg;;;;;;;;;;;;x
PROV230;Janshaven;;;;;;;;;;;;x
PROV231;Dortmund aen See;;;;;;;;;;;;x
PROV232;Rhienerdam;;;;;;;;;;;;x
PROV233;Langer Eylandt;;;;;;;;;;;;x
PROV234;Nieuwerkerk aen die Rhien;;;;;;;;;;;;x
PROV235;Norderbosch;;;;;;;;;;;;x
PROV236;Heuvelsdorp;;;;;;;;;;;;x
PROV241;Jachtlandt;;;;;;;;;;;;x
PROV242;Ottohaven;;;;;;;;;;;;x
PROV243;Sticht;;;;;;;;;;;;x
PROV244;Galmerlandt;;;;;;;;;;;;x
PROV245;Puttenveldt;;;;;;;;;;;;x
PROV219;Suidhaven;;;;;;;;;;;;x
PROV220;Almerlandt;;;;;;;;;;;;x
PROV221;Houthem;;;;;;;;;;;;x
PROV222;Heerenshof;;;;;;;;;;;;x
PROV2146;Seehoven;;;;;;;;;;;;x
PROV211;Koniksbrug;;;;;;;;;;;;x
PROV212;Mannerstreek;;;;;;;;;;;;x
PROV213;Falkenburg;;;;;;;;;;;;x
PROV60;Reejagersburg;;;;;;;;;;;;x
PROV214;Volkerlandt;;;;;;;;;;;;x
PROV215;Westerberg;;;;;;;;;;;;x
PROV216;Eijkstronk;;;;;;;;;;;;x
PROV207;Groenslot;;;;;;;;;;;;x
PROV208;Ralfsfort;;;;;;;;;;;;x
PROV209;Karelswal;;;;;;;;;;;;x
PROV210;Suidsee;;;;;;;;;;;;x
PROV2556;Westrug;;;;;;;;;;;;x
